version:v1.0,,,,,,,,,,,,,,,,
Name (example: Chris Green) [displayName] *,User name (example: chris@contoso.com) [userPrincipalName] *,Initial password [passwordProfile] *,Block sign in (Yes/No) [accountEnabled] *,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Monique Kutch,kutchm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Monique,Kutch,,,,,,,,,,,
Crawford Jaskolski,jaskolskic@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Crawford,Jaskolski,,,,,,,,,,,
Shirley Anderson,andersons@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shirley,Anderson,,,,,,,,,,,
Harvey Zboncak,zboncakh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Harvey,Zboncak,,,,,,,,,,,
Kirk Hermann,hermannk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kirk,Hermann,,,,,,,,,,,
Wilbert Bergstrom,bergstromw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Wilbert,Bergstrom,,,,,,,,,,,
Monty Turcotte,turcottem@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Monty,Turcotte,,,,,,,,,,,
Levi Barrows,barrowsl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Levi,Barrows,,,,,,,,,,,
Osborne White,whiteo@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Osborne,White,,,,,,,,,,,
Zelda Ebert,ebertz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zelda,Ebert,,,,,,,,,,,
Hermann Reilly,reillyh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hermann,Reilly,,,,,,,,,,,
Mateo Robel,robelm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mateo,Robel,,,,,,,,,,,
Americo Rolfson,rolfsona@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Americo,Rolfson,,,,,,,,,,,
Pearline Heller,hellerp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Pearline,Heller,,,,,,,,,,,
Duane Watsica,watsicad@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Duane,Watsica,,,,,,,,,,,
Dorcas Powlowski,powlowskid@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dorcas,Powlowski,,,,,,,,,,,
Kristina Bailey,baileyk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kristina,Bailey,,,,,,,,,,,
Addie Hayes,hayesa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Addie,Hayes,,,,,,,,,,,
Felicia Murazik,murazikf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Felicia,Murazik,,,,,,,,,,,
Zechariah Medhurst,medhurstz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zechariah,Medhurst,,,,,,,,,,,
Demetris Emmerich,emmerichd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Demetris,Emmerich,,,,,,,,,,,
Katheryn Jaskolski,jaskolskik@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Katheryn,Jaskolski,,,,,,,,,,,
Orpha Jacobson,jacobsono@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Orpha,Jacobson,,,,,,,,,,,
Tyrese Cartwright,cartwrightt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tyrese,Cartwright,,,,,,,,,,,
Kacey Conroy,conroyk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kacey,Conroy,,,,,,,,,,,
Kaela Hand,handk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kaela,Hand,,,,,,,,,,,
Tamia Bauch,baucht@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tamia,Bauch,,,,,,,,,,,
Alycia Jenkins,jenkinsa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alycia,Jenkins,,,,,,,,,,,
Hyman Kunze,kunzeh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hyman,Kunze,,,,,,,,,,,
Terrill Lockman,lockmant@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Terrill,Lockman,,,,,,,,,,,
Nina Ankunding,ankundingn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nina,Ankunding,,,,,,,,,,,
Moshe Brekke,brekkem@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Moshe,Brekke,,,,,,,,,,,
Tobin Swaniawski,swaniawskit@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tobin,Swaniawski,,,,,,,,,,,
Mia Carroll,carrollm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mia,Carroll,,,,,,,,,,,
Prince Cummerata,cummeratap@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Prince,Cummerata,,,,,,,,,,,
Freddy Davis,davisf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Freddy,Davis,,,,,,,,,,,
Vena Yost,yostv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Vena,Yost,,,,,,,,,,,
Kristian Balistreri,balistrerik@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kristian,Balistreri,,,,,,,,,,,
Caleigh Cassin,cassinc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Caleigh,Cassin,,,,,,,,,,,
Kelvin Doyle,doylek@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kelvin,Doyle,,,,,,,,,,,
Stewart Reilly,reillys@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stewart,Reilly,,,,,,,,,,,
Carleton Greenholt,greenholtc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carleton,Greenholt,,,,,,,,,,,
Franco Heller,hellerf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Franco,Heller,,,,,,,,,,,
Jonas Greenholt,greenholtj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jonas,Greenholt,,,,,,,,,,,
Cesar Prosacco,prosaccoc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cesar,Prosacco,,,,,,,,,,,
Stephen Satterfield,satterfields@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stephen,Satterfield,,,,,,,,,,,
Jamie Legros,legrosj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jamie,Legros,,,,,,,,,,,
Gabriel Funk,funkg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gabriel,Funk,,,,,,,,,,,
Camryn Flatley,flatleyc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Camryn,Flatley,,,,,,,,,,,
Rosalee Wintheiser,wintheiserr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rosalee,Wintheiser,,,,,,,,,,,
Meredith Schulist,schulistm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Meredith,Schulist,,,,,,,,,,,
Mary King,kingm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mary,King,,,,,,,,,,,
Daryl Reilly,reillyd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Daryl,Reilly,,,,,,,,,,,
Kadin Reichel,reichelk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kadin,Reichel,,,,,,,,,,,
Marshall Hauck,hauckm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marshall,Hauck,,,,,,,,,,,
Clifton Weimann,weimannc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Clifton,Weimann,,,,,,,,,,,
Rae Jerde,jerder@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rae,Jerde,,,,,,,,,,,
Mohamed Wisoky,wisokym@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mohamed,Wisoky,,,,,,,,,,,
Lisa Wintheiser,wintheiserl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lisa,Wintheiser,,,,,,,,,,,
Johan Zemlak,zemlakj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Johan,Zemlak,,,,,,,,,,,
Herminio McCullough,mcculloughh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Herminio,McCullough,,,,,,,,,,,
Shana Brakus,brakuss@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shana,Brakus,,,,,,,,,,,
Marco Erdman,erdmanm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marco,Erdman,,,,,,,,,,,
Clarissa Weissnat,weissnatc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Clarissa,Weissnat,,,,,,,,,,,
Noemy Pagac,pagacn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Noemy,Pagac,,,,,,,,,,,
Juwan Cruickshank,cruickshankj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Juwan,Cruickshank,,,,,,,,,,,
Lera Torphy,torphyl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lera,Torphy,,,,,,,,,,,
Ward Murazik,murazikw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ward,Murazik,,,,,,,,,,,
Anita Baumbach,baumbacha@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Anita,Baumbach,,,,,,,,,,,
Kasey Bogisich,bogisichk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kasey,Bogisich,,,,,,,,,,,
Uriah Wisoky,wisokyu@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Uriah,Wisoky,,,,,,,,,,,
Elisha Waelchi,waelchie@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elisha,Waelchi,,,,,,,,,,,
Shawn Considine,considines@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shawn,Considine,,,,,,,,,,,
Dina Christiansen,christiansend@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dina,Christiansen,,,,,,,,,,,
Shakira Prohaska,prohaskas@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shakira,Prohaska,,,,,,,,,,,
Hertha Larkin,larkinh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hertha,Larkin,,,,,,,,,,,
Edwin Funk,funke@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Edwin,Funk,,,,,,,,,,,
Kaylee Lowe,lowek@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kaylee,Lowe,,,,,,,,,,,
Efrain Bins,binse@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Efrain,Bins,,,,,,,,,,,
Ollie Koelpin,koelpino@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ollie,Koelpin,,,,,,,,,,,
Magnolia Kohler,kohlerm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Magnolia,Kohler,,,,,,,,,,,
Merlin Dach,dachm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Merlin,Dach,,,,,,,,,,,
Caitlyn Brown,brownc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Caitlyn,Brown,,,,,,,,,,,
Alfredo Legros,legrosa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alfredo,Legros,,,,,,,,,,,
Tressie Beer,beert@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tressie,Beer,,,,,,,,,,,
Leonardo Price,pricel@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Leonardo,Price,,,,,,,,,,,
Luna Flatley,flatleyl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Luna,Flatley,,,,,,,,,,,
Wava Turcotte,turcottew@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Wava,Turcotte,,,,,,,,,,,
Cicero Stiedemann,stiedemannc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cicero,Stiedemann,,,,,,,,,,,
Edythe Johns,johnse@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Edythe,Johns,,,,,,,,,,,
Kelvin Becker,beckerk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kelvin,Becker,,,,,,,,,,,
Gennaro Smith,smithg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gennaro,Smith,,,,,,,,,,,
Odell Dooley,dooleyo@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Odell,Dooley,,,,,,,,,,,
Jeanette Williamson,williamsonj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jeanette,Williamson,,,,,,,,,,,
Tanya Morar,morart@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tanya,Morar,,,,,,,,,,,
Kieran Schultz,schultzk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kieran,Schultz,,,,,,,,,,,
Floyd Bins,binsf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Floyd,Bins,,,,,,,,,,,
Jack Kulas,kulasj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jack,Kulas,,,,,,,,,,,
Noelia Jacobs,jacobsn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Noelia,Jacobs,,,,,,,,,,,
Dylan Dickinson,dickinsond@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dylan,Dickinson,,,,,,,,,,,
Jefferey Wyman,wymanj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jefferey,Wyman,,,,,,,,,,,
Albertha Kunze,kunzea@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Albertha,Kunze,,,,,,,,,,,
Grayson Mueller,muellerg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Grayson,Mueller,,,,,,,,,,,
Roslyn Friesen,friesenr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Roslyn,Friesen,,,,,,,,,,,
Breanna Reinger,reingerb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Breanna,Reinger,,,,,,,,,,,
Philip Robel,robelp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Philip,Robel,,,,,,,,,,,
Hobart Emard,emardh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hobart,Emard,,,,,,,,,,,
Gaetano Jaskolski,jaskolskig@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gaetano,Jaskolski,,,,,,,,,,,
Vivianne VonRueden,vonruedenv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Vivianne,VonRueden,,,,,,,,,,,
Milford Kilback,kilbackm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Milford,Kilback,,,,,,,,,,,
Kyleigh Haley,haleyk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kyleigh,Haley,,,,,,,,,,,
Elias Walter,waltere@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elias,Walter,,,,,,,,,,,
Benjamin Gibson,gibsonb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Benjamin,Gibson,,,,,,,,,,,
Oswaldo Padberg,padbergo@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Oswaldo,Padberg,,,,,,,,,,,
Kaden Collins,collinsk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kaden,Collins,,,,,,,,,,,
Cyrus Koelpin,koelpinc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cyrus,Koelpin,,,,,,,,,,,
Lafayette Farrell,farrelll@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lafayette,Farrell,,,,,,,,,,,
Leda Funk,funkl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Leda,Funk,,,,,,,,,,,
Jerod Hartmann,hartmannj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jerod,Hartmann,,,,,,,,,,,
Adolfo Glover,glovera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Adolfo,Glover,,,,,,,,,,,
Bessie Veum,veumb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Bessie,Veum,,,,,,,,,,,
Margie Connelly,connellym@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Margie,Connelly,,,,,,,,,,,
Mariela Okuneva,okunevam@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mariela,Okuneva,,,,,,,,,,,
Buck Lueilwitz,lueilwitzb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Buck,Lueilwitz,,,,,,,,,,,
Herbert Watsica,watsicah@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Herbert,Watsica,,,,,,,,,,,
Declan Mraz,mrazd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Declan,Mraz,,,,,,,,,,,
Lila Klocko,klockol@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lila,Klocko,,,,,,,,,,,
Era Abshire,abshiree@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Era,Abshire,,,,,,,,,,,
Javier Klein,kleinj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Javier,Klein,,,,,,,,,,,
Bulah Mueller,muellerb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Bulah,Mueller,,,,,,,,,,,
Audreanne Fisher,fishera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Audreanne,Fisher,,,,,,,,,,,
Betsy Rosenbaum,rosenbaumb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Betsy,Rosenbaum,,,,,,,,,,,
Chaim Ebert,ebertc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Chaim,Ebert,,,,,,,,,,,
Cydney Eichmann,eichmannc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cydney,Eichmann,,,,,,,,,,,
Ronaldo Medhurst,medhurstr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ronaldo,Medhurst,,,,,,,,,,,
Stevie Rath,raths@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stevie,Rath,,,,,,,,,,,
Domenica Hahn,hahnd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Domenica,Hahn,,,,,,,,,,,
Tianna Jerde,jerdet@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tianna,Jerde,,,,,,,,,,,
Walker Connelly,connellyw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Walker,Connelly,,,,,,,,,,,
Brooke Jacobi,jacobib@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Brooke,Jacobi,,,,,,,,,,,
Libby Larkin,larkinl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Libby,Larkin,,,,,,,,,,,
Fernando OConnell,oconnellf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Fernando,OConnell,,,,,,,,,,,
Audrey Runolfsson,runolfssona@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Audrey,Runolfsson,,,,,,,,,,,
Ola Hodkiewicz,hodkiewiczo@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ola,Hodkiewicz,,,,,,,,,,,
Mitchell Conn,connm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mitchell,Conn,,,,,,,,,,,
Imogene West,westi@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Imogene,West,,,,,,,,,,,
Darrick Howe,howed@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Darrick,Howe,,,,,,,,,,,
Laurel Harber,harberl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Laurel,Harber,,,,,,,,,,,
Virginia Jacobi,jacobiv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Virginia,Jacobi,,,,,,,,,,,
Gabriella Wuckert,wuckertg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gabriella,Wuckert,,,,,,,,,,,
Angeline Labadie,labadiea@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Angeline,Labadie,,,,,,,,,,,
Jayde Carroll,carrollj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jayde,Carroll,,,,,,,,,,,
Rylee Von,vonr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rylee,Von,,,,,,,,,,,
Maymie Lind,lindm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Maymie,Lind,,,,,,,,,,,
Damaris Hilll,hillld@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Damaris,Hilll,,,,,,,,,,,
Lenny Mante,mantel@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lenny,Mante,,,,,,,,,,,
Isai Berge,bergei@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Isai,Berge,,,,,,,,,,,
Jewell Okuneva,okunevaj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jewell,Okuneva,,,,,,,,,,,
Aurore Schuster,schustera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Aurore,Schuster,,,,,,,,,,,
Nia OConner,oconnern@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nia,OConner,,,,,,,,,,,
Newell Heller,hellern@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Newell,Heller,,,,,,,,,,,
Murphy Price,pricem@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Murphy,Price,,,,,,,,,,,
Noble Walter,waltern@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Noble,Walter,,,,,,,,,,,
Amos Harber,harbera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Amos,Harber,,,,,,,,,,,
Filiberto Lubowitz,lubowitzf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Filiberto,Lubowitz,,,,,,,,,,,
Carolina Torp,torpc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carolina,Torp,,,,,,,,,,,
Johnny DAmore,damorej@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Johnny,DAmore,,,,,,,,,,,
Christine Lang,langc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Christine,Lang,,,,,,,,,,,
Juanita Littel,littelj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Juanita,Littel,,,,,,,,,,,
Deven Pollich,pollichd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Deven,Pollich,,,,,,,,,,,
Lily Hermann,hermannl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lily,Hermann,,,,,,,,,,,
Troy Dickinson,dickinsont@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Troy,Dickinson,,,,,,,,,,,
Columbus Kassulke,kassulkec@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Columbus,Kassulke,,,,,,,,,,,
Myron Mayer,mayerm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Myron,Mayer,,,,,,,,,,,
Marian Ziemann,ziemannm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marian,Ziemann,,,,,,,,,,,
Ole Hammes,hammeso@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ole,Hammes,,,,,,,,,,,
Eliane Welch,welche@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eliane,Welch,,,,,,,,,,,
Anais Tillman,tillmana@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Anais,Tillman,,,,,,,,,,,
Jenifer Yundt,yundtj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jenifer,Yundt,,,,,,,,,,,
Johnathan Wehner,wehnerj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Johnathan,Wehner,,,,,,,,,,,
Hilda Schamberger,schambergerh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hilda,Schamberger,,,,,,,,,,,
Aric Bins,binsa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Aric,Bins,,,,,,,,,,,
Shayna Schmitt,schmitts@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shayna,Schmitt,,,,,,,,,,,
Douglas Schmidt,schmidtd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Douglas,Schmidt,,,,,,,,,,,
Sean Thompson,thompsons@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sean,Thompson,,,,,,,,,,,
Shany Ziemann,ziemanns@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shany,Ziemann,,,,,,,,,,,
Lamont Zulauf,zulaufl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lamont,Zulauf,,,,,,,,,,,
Boyd Macejkovic,macejkovicb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Boyd,Macejkovic,,,,,,,,,,,
Brant Feeney,feeneyb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Brant,Feeney,,,,,,,,,,,
Nat Anderson,andersonn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nat,Anderson,,,,,,,,,,,
Turner Senger,sengert@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Turner,Senger,,,,,,,,,,,
Maiya Bartell,bartellm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Maiya,Bartell,,,,,,,,,,,
Harrison Ziemann,ziemannh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Harrison,Ziemann,,,,,,,,,,,
Shanel Marvin,marvins@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shanel,Marvin,,,,,,,,,,,
Elmo Pollich,polliche@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elmo,Pollich,,,,,,,,,,,
Paolo Mills,millsp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Paolo,Mills,,,,,,,,,,,
Kristopher McKenzie,mckenziek@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kristopher,McKenzie,,,,,,,,,,,
Herminio Kuphal,kuphalh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Herminio,Kuphal,,,,,,,,,,,
Taylor Hudson,hudsont@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Taylor,Hudson,,,,,,,,,,,
Adela Feil,feila@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Adela,Feil,,,,,,,,,,,
Alfreda Batz,batza@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alfreda,Batz,,,,,,,,,,,
Eulah Goodwin,goodwine@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Eulah,Goodwin,,,,,,,,,,,
Antwan Wyman,wymana@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Antwan,Wyman,,,,,,,,,,,
Jorge Mann,mannj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jorge,Mann,,,,,,,,,,,
Felix Hilll,hilllf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Felix,Hilll,,,,,,,,,,,
Woodrow Reinger,reingerw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Woodrow,Reinger,,,,,,,,,,,
Estelle Carroll,carrolle@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Estelle,Carroll,,,,,,,,,,,
Isac Jaskolski,jaskolskii@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Isac,Jaskolski,,,,,,,,,,,
Walton Willms,willmsw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Walton,Willms,,,,,,,,,,,
Jeffry Swaniawski,swaniawskij@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jeffry,Swaniawski,,,,,,,,,,,
Yadira Gutmann,gutmanny@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Yadira,Gutmann,,,,,,,,,,,
Corene Fay,fayc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Corene,Fay,,,,,,,,,,,
Tavares Hackett,hackettt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tavares,Hackett,,,,,,,,,,,
Jalon Koepp,koeppj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jalon,Koepp,,,,,,,,,,,
